date,pnl,total_profit,n,equity_12M
2020-08-13,11444.297471740152,7312489.201525634,3,19312489.201525636
2020-08-14,-23815.64729894281,7288673.554226691,3,19288673.55422669
2020-08-17,80879.22966625399,7369552.783892944,5,19369552.783892944
2020-08-18,14106.769729616746,7383659.5536225615,5,19383659.553622562
2020-08-19,-22362.467072703694,7361297.086549858,5,19361297.086549856
2020-08-20,-98583.18138813408,7262713.9051617235,1,19262713.905161723
2020-08-21,54587.81759680605,7317301.72275853,1,19317301.72275853
2020-08-24,-54340.622929093544,7262961.099829436,1,19262961.099829435
2020-08-25,-17100.0,7245861.099829436,2,19245861.099829435
2020-08-26,-95099.99999999981,7150761.099829436,2,19150761.099829435
2020-08-27,-59256.091201596966,7091505.008627839,1,19091505.00862784
2020-08-28,-77140.62292909354,7014364.385698746,3,19014364.385698747
2020-08-31,-116580.41114813194,6897783.974550614,4,18897783.974550612
2020-09-01,-33284.200350124716,6864499.77420049,3,18864499.77420049
2020-09-02,114160.22477169576,6978659.998972186,5,18978659.998972185
2020-09-03,-33218.790555296895,6945441.208416889,5,18945441.20841689
2020-09-04,-108843.16099400037,6836598.047422889,5,18836598.04742289
2020-09-07,-32947.2691432046,6803650.7782796845,4,18803650.778279684
2020-09-08,124647.10864382051,6928297.886923505,5,18928297.886923507
2020-09-09,41929.395351476975,6970227.282274982,5,18970227.282274984
2020-09-10,-21392.241071306144,6948835.041203676,5,18948835.041203678
2020-09-11,22240.14843796264,6971075.189641639,5,18971075.18964164
2020-09-14,119187.56423779257,7090262.753879432,5,19090262.75387943
2020-09-15,-10964.328054206582,7079298.425825225,5,19079298.425825223
2020-09-16,-5579.317132319822,7073719.108692905,5,19073719.108692907
2020-09-17,-86611.85721273845,6987107.251480167,5,18987107.251480166
2020-09-18,-39830.08254424202,6947277.168935925,5,18947277.168935925
2020-09-21,-33782.713067923556,6913494.455868001,5,18913494.455868002
2020-09-22,46443.33417733901,6959937.790045341,4,18959937.79004534
2020-09-23,70490.16540193417,7030427.955447274,3,19030427.955447275
2020-09-24,-19159.173937833868,7011268.78150944,2,19011268.78150944
2020-09-25,-10238.619363364065,7001030.162146077,1,19001030.162146077
2020-09-28,-190200.00000000067,6810830.162146076,1,18810830.162146077
2020-09-29,316001.011800332,7126831.173946408,2,19126831.173946407
2020-09-30,50326.374208836685,7177157.548155244,3,19177157.548155244
2020-10-05,-151294.44204042418,7025863.106114821,5,19025863.10611482
2020-10-06,158438.14731111669,7184301.253425937,5,19184301.253425937
2020-10-07,-28961.843433721835,7155339.409992215,5,19155339.409992214
2020-10-08,96652.21640835152,7251991.626400567,5,19251991.626400568
2020-10-12,98578.87938658675,7350570.505787154,5,19350570.505787153
2020-10-13,125467.54408197786,7476038.049869131,5,19476038.04986913
2020-10-14,-87772.8737243226,7388265.1761448085,5,19388265.17614481
2020-10-15,15022.853836761853,7403288.02998157,5,19403288.02998157
2020-10-16,-121644.4278094538,7281643.602172117,4,19281643.602172118
2020-10-19,372009.9810663839,7653653.583238501,4,19653653.5832385
2020-10-20,-30291.774433780705,7623361.808804721,3,19623361.80880472
2020-10-21,-85898.11043639117,7537463.69836833,2,19537463.69836833
2020-10-22,-70521.50594730457,7466942.192421025,5,19466942.192421027
2020-10-23,1446.4446036894806,7468388.637024714,5,19468388.637024716
2020-10-26,-11182.621588145172,7457206.015436568,3,19457206.015436567
2020-10-27,-2485.044624471411,7454720.970812097,5,19454720.970812097
2020-10-28,1782.4379580989626,7456503.408770196,4,19456503.408770196
2020-10-29,-125074.28571428565,7331429.123055911,5,19331429.123055913
2020-10-30,-41790.91968649063,7289638.20336942,4,19289638.20336942
2020-11-02,-37071.73071208687,7252566.472657333,3,19252566.472657334
2020-11-03,110087.31860255494,7362653.791259888,3,19362653.79125989
2020-11-04,40334.71435570028,7402988.505615588,5,19402988.50561559
2020-11-05,66068.0070014524,7469056.51261704,5,19469056.51261704
2020-11-06,79881.52391084687,7548938.036527887,5,19548938.036527887
2020-11-09,61956.43085406307,7610894.4673819505,5,19610894.46738195
2020-11-10,1967.0455452569004,7612861.512927207,5,19612861.512927208
2020-11-11,222414.01565985117,7835275.528587058,5,19835275.52858706
2020-11-12,-40369.345045038506,7794906.18354202,4,19794906.18354202
2020-11-13,71010.34701939828,7865916.530561418,5,19865916.530561417
2020-11-16,254775.9446501681,8120692.475211587,5,20120692.475211587
2020-11-17,-32063.276395500863,8088629.198816086,5,20088629.198816087
2020-11-18,48773.29634183907,8137402.495157925,4,20137402.495157927
2020-11-19,60397.73176187397,8197800.226919799,4,20197800.2269198
2020-11-20,117462.78811818376,8315263.015037983,5,20315263.015037984
2020-11-23,72059.11252881077,8387322.127566794,5,20387322.127566792
