,ticker,type,entry_date,exit_date,entry_p,exit_p,pnl_net
319,2603,long,2022-02-21,2022-02-24,128.36,123.8674,-157700.0000000003
320,2615,long,2022-02-22,2022-02-24,125.78,127.06154999999998,23055.287009062857
321,3260,long,2022-02-24,2022-03-07,73.32,74.81645,63939.38897981506
322,4162,long,2022-02-24,2022-03-07,63.09,74.03479999999999,676216.6270407345
323,5009,long,2022-02-22,2022-03-08,18.94,20.4194,442108.9229144661
324,3661,long,2022-03-07,2022-03-08,1060.49,1023.37285,-236550.00000000023
325,5274,long,2022-03-10,2022-03-14,2561.52,2471.8668,-157700.00000000032
326,3017,long,2022-03-14,2022-03-15,108.99,105.17535,-157700.0
327,3211,long,2022-03-10,2022-03-16,84.38,82.44959999999999,-109209.83645413634
328,3481,long,2022-03-15,2022-03-28,15.67,15.3821,-91190.74664964914
329,2002,long,2022-03-08,2022-03-29,31.53,33.21,195430.35204567073
330,8069,long,2022-03-28,2022-04-06,167.63,164.87990000000002,-83323.09849072302
331,3163,long,2022-03-16,2022-04-07,37.81,40.3949,255762.04707749246
332,3491,long,2022-03-29,2022-04-07,176.82,172.40689999999998,-117532.59812238466
333,2368,long,2022-04-06,2022-04-11,85.7,82.7005,-157699.99999999988
334,5880,long,2022-04-07,2022-04-14,23.44,23.07315,-80302.38907849879
335,2884,long,2022-04-11,2022-04-14,27.81,26.83665,-157700.0
336,5274,long,2022-04-14,2022-04-15,2882.26,2781.3809,-157700.00000000015
337,4736,long,2022-04-07,2022-04-19,166.89,203.37375,856738.252741327
338,4736,long,2022-04-19,2022-04-22,203.26,207.15654999999998,58981.09810095426
339,5009,long,2022-04-14,2022-04-26,25.44,27.4253,294454.0880503142
340,3374,long,2022-04-22,2022-04-26,128.18,123.6937,-157700.0
341,3529,short,2022-04-26,2022-04-28,1063.87,1101.1054499999998,-145699.99999999965
342,5274,short,2022-04-26,2022-04-28,2154.11,2229.50385,-145699.99999999988
343,2395,long,2022-04-15,2022-05-03,301.84,303.49,4165.889212828442
344,3105,short,2022-05-03,2022-05-10,180.44,179.05,25113.56683662129
345,00632R,long,2022-04-28,2022-05-18,39.06,39.38165,23239.068100358236
346,00664R,long,2022-04-28,2022-05-18,6.31,6.369,27700.950871632434
347,00676R,long,2022-05-10,2022-05-18,21.1,20.824699999999996,-61889.57345971658
348,2881,short,2022-05-18,2022-05-30,45.62,44.10135,127456.510302499
349,2882,short,2022-05-18,2022-05-30,45.14,44.391149999999996,60657.99734160429
350,2884,short,2022-05-18,2022-05-30,23.28,23.401349999999997,-26550.51546391685
351,5314,short,2022-05-30,2022-05-31,0.85,0.8797499999999999,-437099.9999999992
352,3680,long,2022-05-31,2022-06-07,238.75,230.83765,-150262.93193717283
353,2207,long,2022-05-31,2022-06-07,560.29,540.67985,-157699.99999999985
354,3653,long,2022-06-09,2022-06-16,330.69,324.90585,-87664.61943209666
355,6187,short,2022-06-16,2022-06-21,77.5,74.07494999999999,171076.77419354906
356,3491,long,2022-05-31,2022-06-22,145.13,155.1141,257476.73809687898
357,5289,short,2022-06-08,2022-07-06,146.47,126.3942,542556.9809517309
358,3131,short,2022-06-22,2022-07-07,215.15,190.74014999999997,672180.1882407633
359,00632R,long,2022-06-21,2022-07-14,40.18,42.6916,240334.84320557507
360,00676R,long,2022-07-07,2022-07-14,22.9,22.619600000000002,-58678.16593886405
361,00686R,long,2022-07-07,2022-07-14,4.14,4.10125,-47139.61352656947
362,9904,short,2022-07-22,2022-07-25,24.32,24.41,-30753.947368421017
363,3045,short,2022-07-20,2022-07-27,86.91,89.95185,-437099.99999999953
364,3680,long,2022-08-01,2022-08-02,229.55,221.51575,-157700.00000000023
365,3105,short,2022-07-28,2022-08-05,152.85,158.19975,-145700.0
