date,pnl,total_profit,n,equity_bt,year
2024-01-08,8772.78063789639,7257862.9547941815,112,67257862.95479418,2024
2024-01-09,-1540.6871651992428,7256322.267628983,113,67256322.26762898,2024
2024-01-10,-15976.187261350236,7240346.080367632,114,67240346.08036762,2024
2024-01-11,63395.487997957665,7303741.56836559,114,67303741.56836559,2024
2024-01-12,-34468.25253631788,7269273.315829271,114,67269273.31582928,2024
2024-01-15,47857.86869767153,7317131.184526943,114,67317131.18452695,2024
2024-01-16,-27264.323210566665,7289866.861316376,112,67289866.86131638,2024
2024-01-17,-84152.91626167331,7205713.945054703,110,67205713.94505471,2024
2024-01-18,8222.379229242955,7213936.324283946,110,67213936.32428394,2024
2024-01-19,124044.93672418845,7337981.261008135,109,67337981.26100813,2024
2024-01-22,117253.93016857225,7455235.191176707,109,67455235.19117671,2024
2024-01-23,13105.382922936327,7468340.574099643,111,67468340.57409965,2024
2024-01-24,-21466.16026706433,7446874.413832579,112,67446874.41383258,2024
2024-01-25,-26067.87645024558,7420806.537382334,112,67420806.53738233,2024
2024-01-26,-16390.97666761782,7404415.560714716,115,67404415.56071472,2024
2024-01-29,40877.96940810384,7445293.53012282,115,67445293.53012282,2024
2024-01-30,33616.19957913918,7478909.7297019595,118,67478909.72970197,2024
2024-01-31,-9437.306746618102,7469472.422955342,119,67469472.42295533,2024
2024-02-01,14808.677022345993,7484281.099977688,119,67484281.09997769,2024
2024-02-02,39142.043722146795,7523423.143699835,121,67523423.14369984,2024
2024-02-05,-25480.472547219862,7497942.671152615,119,67497942.67115262,2024
2024-02-15,136738.223818415,7634680.89497103,117,67634680.89497103,2024
2024-02-16,50341.63453708566,7685022.529508116,117,67685022.52950811,2024
2024-02-19,28135.50045938233,7713158.029967498,118,67713158.0299675,2024
2024-02-20,30135.02118190705,7743293.051149406,117,67743293.0511494,2024
2024-02-21,-4943.014924549383,7738350.036224856,116,67738350.03622486,2024
2024-02-22,62024.06572714086,7800374.101951997,117,67800374.101952,2024
2024-02-23,-10614.016368630073,7789760.085583366,118,67789760.08558336,2024
2024-02-26,21697.47778183554,7811457.563365202,116,67811457.5633652,2024
2024-02-27,-38708.288030630676,7772749.2753345715,115,67772749.27533457,2024
2024-02-29,84800.6894638249,7857549.964798396,114,67857549.96479839,2024
2024-03-01,14003.429013788951,7871553.393812185,113,67871553.39381218,2024
2024-03-04,74321.14873213533,7945874.54254432,114,67945874.54254432,2024
2024-03-05,44774.01358578655,7990648.556130107,113,67990648.55613011,2024
2024-03-06,88267.53196671659,8078916.088096824,114,68078916.08809683,2024
2024-03-07,40942.27364142986,8119858.361738253,113,68119858.36173825,2024
2024-03-08,-87722.08198359677,8032136.279754656,112,68032136.27975465,2024
2024-03-11,18260.546839470186,8050396.826594126,112,68050396.82659413,2024
2024-03-12,116268.76406984754,8166665.590663974,111,68166665.59066397,2024
2024-03-13,-24543.654881286922,8142121.935782687,110,68142121.93578269,2024
2024-03-14,-67194.22970058233,8074927.706082105,109,68074927.7060821,2024
2024-03-15,3579.557142560633,8078507.263224665,109,68078507.26322466,2024
2024-03-18,72764.06287372156,8151271.326098386,107,68151271.32609838,2024
2024-03-19,18223.231067438246,8169494.557165825,107,68169494.55716583,2024
2024-03-20,1627.3666186201153,8171121.923784445,107,68171121.92378445,2024
2024-03-21,85859.56064154879,8256981.484425994,106,68256981.48442599,2024
2024-03-22,12378.72075389121,8269360.205179885,106,68269360.20517989,2024
2024-03-25,-33270.79077961123,8236089.414400274,107,68236089.41440028,2024
2024-03-26,-102681.63487406849,8133407.779526206,107,68133407.7795262,2024
2024-03-27,45603.3287256797,8179011.1082518855,107,68179011.10825188,2024
